,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,432.92,35910.71,432.92,432.92
1,Bank of America,231.52,19204.58,231.52,231.52
2,Industrial and Commercial Bank of China,194.56,16138.75,194.56,194.56
3,Agricultural Bank of China,160.68,13328.41,160.68,160.68
4,HDFC Bank,157.91,13098.63,157.91,157.91
5,Wells Fargo,155.87,12929.42,155.87,155.87
6,HSBC Holdings PLC,148.9,12351.26,148.9,148.9
7,Morgan Stanley,140.83,11681.85,140.83,140.83
8,China Construction Bank,139.82,11598.07,139.82,139.82
9,Bank of China,136.81,11348.39,136.81,136.81
